"","day","interval","date","steps"
"1","Fri",0,2012-11-09,0
"2","Fri",0,2012-11-30,0
"3","Fri",10,2012-11-30,0
"4","Fri",10,2012-11-09,0
"5","Fri",100,2012-11-30,0
"6","Fri",100,2012-11-09,0
"7","Fri",1000,2012-11-30,72.1428571428571
"8","Fri",1000,2012-11-09,72.1428571428571
"9","Fri",1005,2012-11-09,54.1428571428571
"10","Fri",1005,2012-11-30,54.1428571428571
"11","Fri",1010,2012-11-09,26.5714285714286
"12","Fri",1010,2012-11-30,26.5714285714286
"13","Fri",1015,2012-11-30,7.85714285714286
"14","Fri",1015,2012-11-09,7.85714285714286
"15","Fri",1020,2012-11-30,17.5714285714286
"16","Fri",1020,2012-11-09,17.5714285714286
"17","Fri",1025,2012-11-30,82.7142857142857
"18","Fri",1025,2012-11-09,82.7142857142857
"19","Fri",1030,2012-11-09,31.7142857142857
"20","Fri",1030,2012-11-30,31.7142857142857
"21","Fri",1035,2012-11-30,82.8571428571429
"22","Fri",1035,2012-11-09,82.8571428571429
"23","Fri",1040,2012-11-30,69.8571428571429
"24","Fri",1040,2012-11-09,69.8571428571429
"25","Fri",1045,2012-11-30,15.5714285714286
"26","Fri",1045,2012-11-09,15.5714285714286
"27","Fri",105,2012-11-09,0
"28","Fri",105,2012-11-30,0
"29","Fri",1050,2012-11-09,39.1428571428571
"30","Fri",1050,2012-11-30,39.1428571428571
"31","Fri",1055,2012-11-30,48.1428571428571
"32","Fri",1055,2012-11-09,48.1428571428571
"33","Fri",110,2012-11-09,0
"34","Fri",110,2012-11-30,0
"35","Fri",1100,2012-11-30,20.5714285714286
"36","Fri",1100,2012-11-09,20.5714285714286
"37","Fri",1105,2012-11-30,48.4285714285714
"38","Fri",1105,2012-11-09,48.4285714285714
"39","Fri",1110,2012-11-09,21.4285714285714
"40","Fri",1110,2012-11-30,21.4285714285714
"41","Fri",1115,2012-11-09,0
"42","Fri",1115,2012-11-30,0
"43","Fri",1120,2012-11-30,21.7142857142857
"44","Fri",1120,2012-11-09,21.7142857142857
"45","Fri",1125,2012-11-09,59.5714285714286
"46","Fri",1125,2012-11-30,59.5714285714286
"47","Fri",1130,2012-11-09,44.5714285714286
"48","Fri",1130,2012-11-30,44.5714285714286
"49","Fri",1135,2012-11-09,94.2857142857143
"50","Fri",1135,2012-11-30,94.2857142857143
"51","Fri",1140,2012-11-09,63.4285714285714
"52","Fri",1140,2012-11-30,63.4285714285714
"53","Fri",1145,2012-11-09,39.7142857142857
"54","Fri",1145,2012-11-30,39.7142857142857
"55","Fri",115,2012-11-30,0
"56","Fri",115,2012-11-09,0
"57","Fri",1150,2012-11-09,9.71428571428571
"58","Fri",1150,2012-11-30,9.71428571428571
"59","Fri",1155,2012-11-09,70
"60","Fri",1155,2012-11-30,70
"61","Fri",120,2012-11-09,0
"62","Fri",120,2012-11-30,0
"63","Fri",1200,2012-11-09,56.8571428571429
"64","Fri",1200,2012-11-30,56.8571428571429
"65","Fri",1205,2012-11-09,141.714285714286
"66","Fri",1205,2012-11-30,141.714285714286
"67","Fri",1210,2012-11-09,219
"68","Fri",1210,2012-11-30,219
"69","Fri",1215,2012-11-09,92.8571428571429
"70","Fri",1215,2012-11-30,92.8571428571429
"71","Fri",1220,2012-11-09,50.8571428571429
"72","Fri",1220,2012-11-30,50.8571428571429
"73","Fri",1225,2012-11-30,45.5714285714286
"74","Fri",1225,2012-11-09,45.5714285714286
"75","Fri",1230,2012-11-09,89.1428571428571
"76","Fri",1230,2012-11-30,89.1428571428571
"77","Fri",1235,2012-11-09,120.285714285714
"78","Fri",1235,2012-11-30,120.285714285714
"79","Fri",1240,2012-11-09,88.7142857142857
"80","Fri",1240,2012-11-30,88.7142857142857
"81","Fri",1245,2012-11-09,127
"82","Fri",1245,2012-11-30,127
"83","Fri",125,2012-11-09,0
"84","Fri",125,2012-11-30,0
"85","Fri",1250,2012-11-09,126.428571428571
"86","Fri",1250,2012-11-30,126.428571428571
"87","Fri",1255,2012-11-09,95.8571428571429
"88","Fri",1255,2012-11-30,95.8571428571429
"89","Fri",130,2012-11-09,5.42857142857143
"90","Fri",130,2012-11-30,5.42857142857143
"91","Fri",1300,2012-11-09,63
"92","Fri",1300,2012-11-30,63
"93","Fri",1305,2012-11-09,85.8571428571429
"94","Fri",1305,2012-11-30,85.8571428571429
"95","Fri",1310,2012-11-09,70
"96","Fri",1310,2012-11-30,70
"97","Fri",1315,2012-11-09,59.2857142857143
"98","Fri",1315,2012-11-30,59.2857142857143
"99","Fri",1320,2012-11-09,125.142857142857
"100","Fri",1320,2012-11-30,125.142857142857
"101","Fri",1325,2012-11-09,140.285714285714
"102","Fri",1325,2012-11-30,140.285714285714
"103","Fri",1330,2012-11-30,79.1428571428571
"104","Fri",1330,2012-11-09,79.1428571428571
"105","Fri",1335,2012-11-09,50.5714285714286
"106","Fri",1335,2012-11-30,50.5714285714286
"107","Fri",1340,2012-11-30,75.4285714285714
"108","Fri",1340,2012-11-09,75.4285714285714
"109","Fri",1345,2012-11-30,86.5714285714286
"110","Fri",1345,2012-11-09,86.5714285714286
"111","Fri",135,2012-11-30,0
"112","Fri",135,2012-11-09,0
"113","Fri",1350,2012-11-30,79.1428571428571
"114","Fri",1350,2012-11-09,79.1428571428571
"115","Fri",1355,2012-11-09,155
"116","Fri",1355,2012-11-30,155
"117","Fri",140,2012-11-09,0
"118","Fri",140,2012-11-30,0
"119","Fri",1400,2012-11-30,199.142857142857
"120","Fri",1400,2012-11-09,199.142857142857
"121","Fri",1405,2012-11-30,117.714285714286
"122","Fri",1405,2012-11-09,117.714285714286
"123","Fri",1410,2012-11-30,53
"124","Fri",1410,2012-11-09,53
"125","Fri",1415,2012-11-09,70.7142857142857
"126","Fri",1415,2012-11-30,70.7142857142857
"127","Fri",1420,2012-11-30,41.8571428571429
"128","Fri",1420,2012-11-09,41.8571428571429
"129","Fri",1425,2012-11-30,7.14285714285714
"130","Fri",1425,2012-11-09,7.14285714285714
"131","Fri",1430,2012-11-30,20.1428571428571
"132","Fri",1430,2012-11-09,20.1428571428571
"133","Fri",1435,2012-11-09,16.4285714285714
"134","Fri",1435,2012-11-30,16.4285714285714
"135","Fri",1440,2012-11-30,3
"136","Fri",1440,2012-11-09,3
"137","Fri",1445,2012-11-09,43.5714285714286
"138","Fri",1445,2012-11-30,43.5714285714286
"139","Fri",145,2012-11-09,1.28571428571429
"140","Fri",145,2012-11-30,1.28571428571429
"141","Fri",1450,2012-11-09,108.571428571429
"142","Fri",1450,2012-11-30,108.571428571429
"143","Fri",1455,2012-11-09,94.5714285714286
"144","Fri",1455,2012-11-30,94.5714285714286
"145","Fri",15,2012-11-30,0
"146","Fri",15,2012-11-09,0
"147","Fri",150,2012-11-09,2
"148","Fri",150,2012-11-30,2
"149","Fri",1500,2012-11-09,98.1428571428571
"150","Fri",1500,2012-11-30,98.1428571428571
"151","Fri",1505,2012-11-09,94
"152","Fri",1505,2012-11-30,94
"153","Fri",1510,2012-11-09,125.285714285714
"154","Fri",1510,2012-11-30,125.285714285714
"155","Fri",1515,2012-11-09,122.714285714286
"156","Fri",1515,2012-11-30,122.714285714286
"157","Fri",1520,2012-11-09,127.285714285714
"158","Fri",1520,2012-11-30,127.285714285714
"159","Fri",1525,2012-11-09,111.285714285714
"160","Fri",1525,2012-11-30,111.285714285714
"161","Fri",1530,2012-11-09,158.714285714286
"162","Fri",1530,2012-11-30,158.714285714286
"163","Fri",1535,2012-11-09,142
"164","Fri",1535,2012-11-30,142
"165","Fri",1540,2012-11-09,169.142857142857
"166","Fri",1540,2012-11-30,169.142857142857
"167","Fri",1545,2012-11-30,157
"168","Fri",1545,2012-11-09,157
"169","Fri",155,2012-11-30,0
"170","Fri",155,2012-11-09,0
"171","Fri",1550,2012-11-09,100
"172","Fri",1550,2012-11-30,100
"173","Fri",1555,2012-11-09,135.142857142857
